Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Boggart,Head,1.5,-271.7,0,0,4,1,1,0",,"Boggart,Body,2.6,-179.2,-2,0,7,1,1,0","Boggart,Arm Up,-44.6,-209,-17,0,7,1,1,0","Boggart,Arm Low,-63.6,-160,-18,1,9,1,1,0","Boggart,Open,-77.4,-116.2,-19,0,10,1,1,0","Boggart,Arm Up,36.6,-206.6,7,1,13,1,1,0","Boggart,Arm Low,56,-155,22,0,15,1,1,0","Boggart,Fist,67,-115,17,1,16,1,1,0","Boggart,Leg Up,-23.5,-108.2,-13.2,1,11,1,1,0","Boggart,Leg Low,-36.5,-48.2,-12,0,9,1,1,0","Boggart,Foot,-37.4,-4.7,-3.6,0,13,1,1,0","Boggart,Leg Up,28,-111.2,13.7,1,15,1,1,0","Boggart,Leg Low,42,-50.7,10.5,0,15,1,1,0","Boggart,Foot,56.1,-5.2,8.5,0,17,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Boggart,Head,16,-195,-1,0,4,1,1,0",,"Boggart,Body,10,-103,-7,0,7,1,1,0","Boggart,Arm Up,-31.6,-130.4,-7,0,5,1,1,0","Boggart,Arm Low,-43.6,-72.4,-10,1,6,1,1,0","Boggart,Open,-48.4,-23.6,1,0,7,1,1,0","Boggart,Arm Up,51.8,-132.8,14,1,13,1,1,0","Boggart,Arm Low,60.2,-77.2,-6,0,4,1,1,0","Boggart,Open,58,-34,0,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-20,-76,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/1,"Boggart,Head,17,-195,-2,0,4,1,1,0",,"Boggart,Body,10,-103,-8,0,7,1,1,0","Boggart,Arm Up,-30.6,-130.4,-6,0,5,1,1,0","Boggart,Arm Low,-42.6,-72.4,-10,1,6,1,1,0","Boggart,Open,-47.4,-23.6,2,0,7,1,1,0","Boggart,Arm Up,51.8,-132.8,15,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-7,0,4,1,1,0","Boggart,Open,58,-34,-2,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-21,-77,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/2,"Boggart,Head,17,-195,-3,0,4,1,1,0",,"Boggart,Body,10,-103,-8,0,7,1,1,0","Boggart,Arm Up,-31.6,-130.4,-7,0,5,1,1,0","Boggart,Arm Low,-43.6,-73.4,-9,1,6,1,1,0","Boggart,Open,-47.4,-24.6,3,0,7,1,1,0","Boggart,Arm Up,51.8,-132.8,15,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-7,0,4,1,1,0","Boggart,Open,58,-34,-2,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-21,-77,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/3,"Boggart,Head,18,-194,-4,0,4,1,1,0",,"Boggart,Body,10,-102,-9,0,7,1,1,0","Boggart,Arm Up,-31.6,-129.4,-7,0,5,1,1,0","Boggart,Arm Low,-41.6,-72.4,-7,1,6,1,1,0","Boggart,Open,-44.4,-23.6,5,0,7,1,1,0","Boggart,Arm Up,51.8,-131.8,16,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-9,0,4,1,1,0","Boggart,Open,57,-33,-5,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-22,-78,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/4,"Boggart,Head,18,-193,-5,0,4,1,1,0",,"Boggart,Body,10,-101,-9,0,7,1,1,0","Boggart,Arm Up,-31.6,-128.4,-8,0,5,1,1,0","Boggart,Arm Low,-41.6,-71.4,-6,1,6,1,1,0","Boggart,Open,-43.4,-22.6,6,0,7,1,1,0","Boggart,Arm Up,51.8,-130.8,16,1,13,1,1,0","Boggart,Arm Low,61.2,-76.2,-9,0,4,1,1,0","Boggart,Open,57,-32,-5,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-21,-79,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/5,"Boggart,Head,18,-194,-4,0,4,1,1,0",,"Boggart,Body,10,-102,-9,0,7,1,1,0","Boggart,Arm Up,-31.6,-129.4,-7,0,5,1,1,0","Boggart,Arm Low,-41.6,-72.4,-7,1,6,1,1,0","Boggart,Open,-44.4,-23.6,5,0,7,1,1,0","Boggart,Arm Up,51.8,-131.8,16,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-9,0,4,1,1,0","Boggart,Open,57,-33,-5,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-22,-78,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/6,"Boggart,Head,17,-195,-3,0,4,1,1,0",,"Boggart,Body,10,-103,-8,0,7,1,1,0","Boggart,Arm Up,-31.6,-130.4,-7,0,5,1,1,0","Boggart,Arm Low,-43.6,-73.4,-9,1,6,1,1,0","Boggart,Open,-47.4,-24.6,3,0,7,1,1,0","Boggart,Arm Up,51.8,-132.8,15,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-7,0,4,1,1,0","Boggart,Open,58,-34,-2,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-21,-77,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.3,,
Idle/7,"Boggart,Head,17,-195,-2,0,4,1,1,0",,"Boggart,Body,10,-103,-8,0,7,1,1,0","Boggart,Arm Up,-30.6,-130.4,-6,0,5,1,1,0","Boggart,Arm Low,-42.6,-72.4,-10,1,6,1,1,0","Boggart,Open,-47.4,-23.6,2,0,7,1,1,0","Boggart,Arm Up,51.8,-132.8,15,1,13,1,1,0","Boggart,Arm Low,61.2,-77.2,-7,0,4,1,1,0","Boggart,Open,58,-34,-2,1,5,1,1,0","Boggart,Leg Up,-12,-29,10,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,22,-21,-77,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StopTalk/0,"Boggart,Head,-2,-196,3,0,4,1,1,0",,"Boggart,Body,3,-103,2,0,7,1,1,0","Boggart,Arm Up,-14.6,-125.4,49,0,3,1,1,0","Boggart,Arm Low,31.4,-104.4,95,1,2,1,1,0","Boggart,Twopoint,78,-123,117,0,3,1,1,0","Boggart,Arm Up,38.8,-134.8,13,1,13,1,1,0","Boggart,Arm Low,60.2,-79.2,12,0,4,1,1,0","Boggart,Open,69,-31,4,1,5,1,1,0","Boggart,Leg Up,-10,-29,7,1,11,1.1,1.1,0","Boggart,Leg Low,-38,-1,-83,0,9,1,1,0","Boggart,Foot,-91,10,-101,0,13,1,1,0","Boggart,Leg Up,37,-62,100,1,15,1,1,0","Boggart,Leg Low,67,-38,6.5,0,15,1,1,0","Boggart,Foot,80,5,15.5,0,17,1,1,0","Boggart,Tong,39,-22,-74,0,6,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
