Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Morgottfake,Head,-7,-371,5,0,4,0.9,0.9,0","Morgottfake,Neck,-7,-337,4,0,8,1,1,0","Morgottfake,Body,-3.4,-258.2,2,0,7,1,1,0","Morgottfake,Arm Up,-62,-277,-16,0,9,1,1,0","Morgottfake,Arm Low,-90,-183,-13,0,11,1,1,0","Morgottfake,Open,-105,-105,-10,0,9,1,1,0","Morgottfake,Arm Up,50.6,-288.6,25,1,13,1,1,0","Morgottfake,Arm Low,94,-209,32,0,15,1,1,0","Morgottfake,Open,137,-142,34,1,16,1,1,0","Morgottfake,Leg Up,-3,-170,-0.2,0,11,1,1,0","Morgottfake,Leg Low,-27.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-40.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,27,-74,2,0,20,1,1,0","Morgottfake,Foot,40,-10,6.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Morgottfake,Head,-4,-371,4,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-1.4,-258.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-277,-9,0,9,1,1,0","Morgottfake,Arm Low,-77,-174,-10,0,11,1,1,0","Morgottfake,Open,-85,-102,-1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-282.6,14,1,13,1,1,0","Morgottfake,Arm Low,75,-185,18,0,15,1,1,0","Morgottfake,Open,99,-110,15,1,16,1,1,0","Morgottfake,Leg Up,-2,-165,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/1,"Morgottfake,Head,-4,-369,3,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-1.4,-257.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-276,-8,0,9,1,1,0","Morgottfake,Arm Low,-76,-172,-9,0,11,1,1,0","Morgottfake,Open,-82,-99,-1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-281.6,15,1,13,1,1,0","Morgottfake,Arm Low,75,-184,17,0,15,1,1,0","Morgottfake,Open,98,-109,14,1,16,1,1,0","Morgottfake,Leg Up,-2,-164,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
Idle/2,"Morgottfake,Head,-4,-368,2,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-336,4,0,8,1,1,0","Morgottfake,Body,-1.4,-256.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-275,-8,0,9,1,1,0","Morgottfake,Arm Low,-75,-171,-8,0,11,1,1,0","Morgottfake,Open,-81,-98,-1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-280.6,15,1,13,1,1,0","Morgottfake,Arm Low,75,-183,16,0,15,1,1,0","Morgottfake,Open,97,-108,13,1,16,1,1,0","Morgottfake,Leg Up,-2,-163,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/3,"Morgottfake,Head,-4,-366,1,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-335,4,0,8,1,1,0","Morgottfake,Body,-1.4,-255.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-274,-7,0,9,1,1,0","Morgottfake,Arm Low,-74,-170,-7,0,11,1,1,0","Morgottfake,Open,-78,-97,1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-279.6,14,1,13,1,1,0","Morgottfake,Arm Low,74,-181,16,0,15,1,1,0","Morgottfake,Open,95,-107,13,1,16,1,1,0","Morgottfake,Leg Up,-2,-162,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.8,,
Idle/4,"Morgottfake,Head,-4,-368,2,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-336,4,0,8,1,1,0","Morgottfake,Body,-1.4,-256.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-275,-8,0,9,1,1,0","Morgottfake,Arm Low,-75,-171,-8,0,11,1,1,0","Morgottfake,Open,-81,-98,-1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-280.6,15,1,13,1,1,0","Morgottfake,Arm Low,75,-183,16,0,15,1,1,0","Morgottfake,Open,97,-108,13,1,16,1,1,0","Morgottfake,Leg Up,-2,-163,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/5,"Morgottfake,Head,-4,-370,3,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-1.4,-257.2,1,0,7,1,1,0","Morgottfake,Arm Up,-57,-276,-8,0,9,1,1,0","Morgottfake,Arm Low,-76,-172,-9,0,11,1,1,0","Morgottfake,Open,-82,-99,-1,0,9,1,1,0","Morgottfake,Arm Up,44.6,-281.6,15,1,13,1,1,0","Morgottfake,Arm Low,75,-184,17,0,15,1,1,0","Morgottfake,Open,98,-109,14,1,16,1,1,0","Morgottfake,Leg Up,-2,-164,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StopTalk/0,"Morgottfake,Head,0,-369,-2,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-0.4,-258.2,0,0,7,1,1,0","Morgottfake,Arm Up,-59,-280,-19,0,9,1,1,0","Morgottfake,Arm Low,-46,-187,39,0,8,1,1,0","Morgottfake,Twopoint,9,-130,54,0,9,1,1,0","Morgottfake,Arm Up,47.6,-281.6,3,1,13,1,1,0","Morgottfake,Arm Low,56,-184,2,0,15,1,1,0","Morgottfake,Open,56,-113,-1,1,16,1,1,0","Morgottfake,Leg Up,-2,-166,-2.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StopTalk/1,"Morgottfake,Head,-3,-370,0,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-1.4,-258.2,1,0,7,1,1,0","Morgottfake,Arm Up,-59,-280,-19,0,9,1,1,0","Morgottfake,Arm Low,-54,-180,28,0,8,1,1,0","Morgottfake,Open,-11,-112,39,0,9,1,1,0","Morgottfake,Arm Up,44.6,-282.6,3,1,13,1,1,0","Morgottfake,Arm Low,53,-185,2,0,15,1,1,0","Morgottfake,Open,53,-114,-1,1,16,1,1,0","Morgottfake,Leg Up,-2,-165,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StopTalk/2,"Morgottfake,Head,-4,-371,2,0,4,0.9,0.9,0","Morgottfake,Neck,-2,-337,4,0,8,1,1,0","Morgottfake,Body,-1.4,-258.2,1,0,7,1,1,0","Morgottfake,Arm Up,-60,-277,-17,0,9,1,1,0","Morgottfake,Arm Low,-72,-174,3,0,11,1,1,0","Morgottfake,Open,-63,-102,6,0,9,1,1,0","Morgottfake,Arm Up,44.6,-282.6,3,1,13,1,1,0","Morgottfake,Arm Low,53,-185,2,0,15,1,1,0","Morgottfake,Open,53,-114,-1,1,16,1,1,0","Morgottfake,Leg Up,-2,-165,-1.2,0,11,1,1,0","Morgottfake,Leg Low,-25.5,-73.2,-3,1,13,1,1,0","Morgottfake,Foot,-39.4,-6.7,-5.6,1,12,1,1,0",,"Morgottfake,Leg Low,28,-74,4,0,20,1,1,0","Morgottfake,Foot,41,-10,4.5,0,15,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
