Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Leda,Helmet,-6,-356,5,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-150,-6,0,11,1,1,0","Leda,Fist,-90,-88,0,0,13,1,1,0","Leda,Arm Up,48.8,-247.4,27,1,17,1,1,0","Leda,Arm Low,51,-168,-29,1,13,1,1,0","Leda,Fist,12,-119,-54,1,14,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,0,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_1/0,"Leda,Helmet,-6,-356,5,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-150,-6,0,11,1,1,0","Leda,Fist,-90,-88,0,0,13,1,1,0","Leda,Arm Up,48.8,-247.4,27,1,17,1,1,0","Leda,Arm Low,51,-168,-29,1,13,1,1,0","Leda,Fist,14,-117,-52,1,14,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,0,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_2/0,"Leda,Helmet,-3,-355,4,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-45,-158,54,0,11,1,1,0","Leda,Fist,11,-128,70,0,13,1,1,0","Leda,Arm Up,48.8,-247.4,27,1,17,1,1,0","Leda,Arm Low,74,-161,5,1,15,1,1,0","Leda,Fist,80,-95,8,1,16,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,1,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_3/0,"Leda,Helmet,-6,-355,8,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-60,-138,24,0,11,1,1,0","Leda,Fist,-29,-79,31,0,13,1,1,0","Leda,Arm Up,53.8,-213.4,29,1,17,1,1,0","Leda,Arm Low,41,-198,-119,1,7,1,1,0","Leda,Fist,-23,-230,-119,1,9,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,1,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_4/0,"Leda,Helmet,2,-356,-8,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-138,-3,0,11,1,1,0","Leda,Fist,-83,-71,3,0,13,1,1,0","Leda,Arm Up,48.8,-208.4,26,1,17,1,1,0","Leda,Arm Low,41,-198,-140,1,7,1,1,0","Leda,Fist,7,-249,-150,1,9,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,1,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_6/0,"Leda,Helmet,5,-355,-8,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-4,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-150,-6,0,11,1,1,0","Leda,Fist,-89,-88,4,0,13,1,1,0","Leda,Arm Up,48.8,-247.4,22,1,17,1,1,0","Leda,Arm Low,63,-161,-1,1,18,1,1,0","Leda,Fist,58,-97,-9,1,19,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,0,0,11,1,1,0","Leda,Cloak_back,0,-126,0,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_7/0,"Leda,Happy,-18,-340,22,0,9,0.9,0.9,0",,"Leda,Body,-8.8,-219.4,-2,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-150,-6,0,11,1,1,0","Leda,Fist,-89,-88,4,0,13,1,1,0","Leda,Arm Up,51.8,-247.4,28,1,17,1,1,0","Leda,Arm Low,73,-161,6,1,18,1,1,0","Leda,Fist,78,-97,4,1,19,1,1,0",,,,,,,,,"Leda,Cloak,4,-124,3,0,11,1,1,0","Leda,Cloak_back,7,-126,3,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_8/0,,,,,,,,"Leda,Arm Low,63,-214,206,1,18,1,1,0","Leda,Thumbup,43,-274,208,1,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_5/0,"Leda,Helmet,0,-355,-2,0,9,0.8,0.8,0",,"Leda,Body,-8.8,-219.4,-5,0,14,1,1,0","Leda,Arm Up,-58.4,-223.2,-33,0,12,1,1,0","Leda,Arm Low,-85,-150,-6,0,11,1,1,0","Leda,Fist,-90,-88,0,0,13,1,1,0","Leda,Arm Up,48.8,-247.4,27,1,17,1,1,0","Leda,Arm Low,37,-181,-49,1,13,1,1,0","Leda,Fist,-13,-146,-62,1,14,1,1,0",,,,,,,,,"Leda,Cloak,-1,-124,-1,0,11,1,1,0","Leda,Cloak_back,0,-126,-1,0,20,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comic5_icon/0,"Leda,Happy,-8,-363,-13,0,9,0.9,0.9,0",,"Leda,Body,-8.8,-219.4,-2,0,14,1.1,1.1,0","Leda,Arm Up,-45.4,-243.2,17,0,12,1.1,1.1,0","Leda,Arm Low,-4,-260,156,0,7,1.1,1.2,0","Leda,Open,20,-332,172,0,8,1.1,1.1,0","Leda,Arm Up,51.8,-247.4,28,1,17,1.1,1.1,0","Leda,Arm Low,71,-156,4,1,18,1.1,1.1,0","Leda,Fist,69,-95,-9,1,19,1.1,1.1,0",,,,,,,,,"Leda,Cloak,2,-120,3,0,11,1.1,1.1,0","Leda,Cloak_back,4,-116,3,0,20,1.1,1.1,0","Item,Scope,72,-371,-94,1,9,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
