Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Miquella,Joke,-15,-432,2,0,7,1,1,0","Miquella,Neck,-6,-396,6,0,10,1,1,0","Miquella,Body,-11,-288,-1,0,12,1,1,0","Miquella,Arm Up,-78,-323,-33,0,8,1,1,0","Miquella,Arm Low,-125,-250,-31,0,7,1,1,0","Miquella,Open_ring,-159,-180,-27,0,6,1,1,0","Miquella,Arm Up,52,-336,36,1,15,1,1,0","Miquella,Arm Low,107,-267,38,1,14,1,1,0","Miquella,Open,153,-204,39,1,13,1,1,0","Miquella,Leg Up,-2,-117,0,0,14,1,1,0",,"Miquella,Foot,-66,-14,2.4,1,17,1,1,0",,,"Miquella,Foot_2,52,-13,11.5,0,19,1,1,0",,,"Miquella,Rope,9,-167,1,0,10,1,1,0","Miquella,Hair_back,-34,-246,-5,0,26,1,1,0","Miquella,Hair_outer,-106,-256,-3,0,25,1,1,0","Miquella,Hair_inner,35,-257,-12,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/0,"Miquella,Head,-21,-469,0,0,14,1,1,0","Miquella,Neck,0,-430,-6,0,16,1,1,0","Miquella,Body,-4,-298,-1,0,12,1,1,0","Miquella,Arm Up,-80,-347,-8,0,8,1,1,0","Miquella,Arm Low,-86,-259,9,0,7,1,1,0","Miquella,Open_ring,-79,-174,5,0,6,1,1,0","Miquella,Arm Up,49,-361,2,1,15,1,1,0","Miquella,Arm Low,58,-272,-6,1,14,1,1,0","Miquella,Open,58,-189,-8,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,0,0,10,1,1,0","Miquella,Hair_back,-42,-316,-7,0,26,1,1,0","Miquella,Hair_outer,-127,-306,-12,0,25,1,1,0","Miquella,Hair_inner,54,-311,-3,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/1,"Miquella,Head,-17,-469,0,0,14,1,1,0","Miquella,Neck,4,-434,-8,0,16,1,1,0","Miquella,Body,-2,-298,-2,0,12,1,1,0","Miquella,Arm Up,-78,-347,-7,0,8,1,1,0","Miquella,Arm Low,-82,-259,10,0,7,1,1,0","Miquella,Open_ring,-75,-174,6,0,6,1,1,0","Miquella,Arm Up,53,-357,2,1,15,1,1,0","Miquella,Arm Low,62,-272,-6,1,14,1,1,0","Miquella,Open,62,-189,-8,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,0,0,10,1,1,0","Miquella,Hair_back,-40,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-125,-308,-13,0,25,1,1,0","Miquella,Hair_inner,56,-311,-3,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
Idle/2,"Miquella,Head,-13,-469,-2,0,14,1,1,0","Miquella,Neck,4,-434,-8,0,16,1,1,0","Miquella,Body,-2,-298,-2,0,12,1,1,0","Miquella,Arm Up,-78,-347,-7,0,8,1,1,0","Miquella,Arm Low,-82,-259,10,0,7,1,1,0","Miquella,Open_ring,-73,-174,8,0,6,1,1,0","Miquella,Arm Up,53,-357,2,1,15,1,1,0","Miquella,Arm Low,62,-272,-6,1,14,1,1,0","Miquella,Open,62,-189,-8,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,0,0,10,1,1,0","Miquella,Hair_back,-34,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-123,-308,-13,0,25,1,1,0","Miquella,Hair_inner,56,-307,-4,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/3,"Miquella,Head,-9,-469,-3,0,14,1,1,0","Miquella,Neck,8,-432,-9,0,16,1,1,0","Miquella,Body,0,-298,-3,0,12,1,1,0","Miquella,Arm Up,-74,-347,-7,0,8,1,1,0","Miquella,Arm Low,-78,-259,10,0,7,1,1,0","Miquella,Open_ring,-69,-174,8,0,6,1,1,0","Miquella,Arm Up,55,-357,1,1,15,1,1,0","Miquella,Arm Low,62,-272,-7,1,14,1,1,0","Miquella,Open,62,-189,-9,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,2,0,10,1,1,0","Miquella,Hair_back,-32,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-121,-314,-15,0,25,1,1,0","Miquella,Hair_inner,58,-307,-5,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/4,"Miquella,Head,-3,-469,-5,0,13,1,1,0","Miquella,Neck,12,-434,-11,0,16,1,1,0","Miquella,Body,1,-298,-4,0,12,1,1,0","Miquella,Arm Up,-72,-347,-7,0,8,1,1,0","Miquella,Arm Low,-76,-259,10,0,7,1,1,0","Miquella,Open_ring,-67,-174,8,0,6,1,1,0","Miquella,Arm Up,57,-357,1,1,15,1,1,0","Miquella,Arm Low,64,-272,-7,1,14,1,1,0","Miquella,Open,64,-189,-9,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,14,-181,3,0,10,1,1,0","Miquella,Hair_back,-28,-316,-5,0,26,1,1,0","Miquella,Hair_outer,-117,-316,-15,0,25,1,1,0","Miquella,Hair_inner,62,-309,-5,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
Idle/5,"Miquella,Head,-9,-469,-3,0,14,1,1,0","Miquella,Neck,8,-432,-9,0,16,1,1,0","Miquella,Body,0,-298,-3,0,12,1,1,0","Miquella,Arm Up,-74,-347,-7,0,8,1,1,0","Miquella,Arm Low,-78,-259,10,0,7,1,1,0","Miquella,Open_ring,-69,-174,8,0,6,1,1,0","Miquella,Arm Up,55,-357,1,1,15,1,1,0","Miquella,Arm Low,62,-272,-7,1,14,1,1,0","Miquella,Open,62,-189,-9,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,14,-181,3,0,10,1,1,0","Miquella,Hair_back,-32,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-121,-314,-15,0,25,1,1,0","Miquella,Hair_inner,58,-307,-5,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.2,,
Idle/6,"Miquella,Head,-13,-469,-2,0,14,1,1,0","Miquella,Neck,4,-434,-8,0,16,1,1,0","Miquella,Body,-2,-298,-2,0,12,1,1,0","Miquella,Arm Up,-78,-347,-7,0,8,1,1,0","Miquella,Arm Low,-82,-259,10,0,7,1,1,0","Miquella,Open_ring,-73,-174,8,0,6,1,1,0","Miquella,Arm Up,53,-357,2,1,15,1,1,0","Miquella,Arm Low,62,-272,-6,1,14,1,1,0","Miquella,Open,62,-189,-8,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,0,0,10,1,1,0","Miquella,Hair_back,-34,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-123,-308,-13,0,25,1,1,0","Miquella,Hair_inner,56,-307,-4,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idle/7,"Miquella,Head,-17,-469,0,0,14,1,1,0","Miquella,Neck,4,-434,-8,0,16,1,1,0","Miquella,Body,-2,-298,-2,0,12,1,1,0","Miquella,Arm Up,-78,-347,-7,0,8,1,1,0","Miquella,Arm Low,-82,-259,10,0,7,1,1,0","Miquella,Open_ring,-75,-174,6,0,6,1,1,0","Miquella,Arm Up,53,-357,2,1,15,1,1,0","Miquella,Arm Low,62,-272,-6,1,14,1,1,0","Miquella,Open,62,-189,-8,1,13,1,1,0","Miquella,Leg Up,-1,-126,0,0,11,1,1,0",,"Miquella,Foot,-56,-9,-0.6,1,17,1,1,0",,,"Miquella,Foot_2,58,-10,15.5,0,19,1,1,0",,,"Miquella,Rope,12,-181,0,0,10,1,1,0","Miquella,Hair_back,-40,-316,-6,0,26,1,1,0","Miquella,Hair_outer,-125,-308,-13,0,25,1,1,0","Miquella,Hair_inner,56,-311,-3,0,26,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_comicicon/0,"Miquella,Smile2,-29,-480,17,0,7,1,1,0","Miquella,Neck,-13,-451,15,0,11,1,1,0","Miquella,Body,-10,-342,3,0,12,1,1,0","Miquella,Arm Up,-66,-368,-15,0,8,1,1,0","Miquella,Arm Low,-29,-368,116,0,7,1,1,0","Miquella,Open_ring,35,-413,131,0,6,1,1,0","Miquella,Arm Up,52,-386,18,1,15,1,1,0","Miquella,Arm Low,75,-311,15,1,14,1,1,0","Miquella,Open,96,-235,21,1,13,1,1,0","Miquella,Leg Up,3,-173,0,0,13,1,1,0",,"Miquella,Foot,-52,-75,-2.6,1,17,1,1,0",,,"Miquella,Foot_2,59,-74,9.5,0,19,1,1,0",,,"Miquella,Rope,10,-241,0,0,10,1,1,0","Miquella,Hair_back,-23,-246,-4,0,26,1,1,0","Miquella,Hair_outer,-84,-281,9,0,25,1,1,0","Miquella,Hair_inner,42,-281,-10,0,26,1,1,0","Item,Golden Goblet,38,-405,32,0,7,0.9,0.9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
