Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Miquella_kid,Head,-9,-286.6,3,0,7,1,1,0","Miquella_kid,Neck,4,-270.4,-1,0,16,1,1,0","Miquella_kid,Body,-4.8,-198.4,-1,0,12,1,1,0","Miquella_kid,Arm Up,-45.4,-224.2,-29,0,8,1,1,0","Miquella_kid,Arm Low,-70,-173,-26,0,7,1,1,0","Miquella_kid,Open,-89,-126,-20,0,6,1,1,0","Miquella_kid,Arm Up,36.8,-228.4,32,1,15,1,1,0","Miquella_kid,Arm Low,66,-179,31,1,14,1,1,0","Miquella_kid,Open,94,-133,37,1,14,1,1,0","Miquella_kid,Leg Up,-1,-84,-1,0,14,1,1,0",,"Miquella_kid,Foot,-38.8,-11.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,38.2,-8.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCLUDE_sand/0,"Miquella_kid,Happy,-120,-203.2,-19,0,17,1,1,0","Miquella_kid,Neck,-148,-179.8,-32,0,26,1,1,0","Miquella_kid,Body,-152,-108,-18,0,22,1,1,0","Miquella_kid,Arm Up,-156.4,-140.8,36,0,18,1,1,0","Miquella_kid,Arm Low,-114,-103.6,65,0,17,1,1,0","Miquella_kid,Open,-70,-75.6,62,0,8,1,1,0","Miquella_kid,Arm Up,-86.2,-126.8,7,1,25,1,1,0","Miquella_kid,Arm Low,-58,-75.6,29,1,24,1,1,0","Miquella_kid,Open,-26,-33.6,40,0,31,1,1,0","Miquella_kid,Kneel,-194,-16,8,0,23,0.9,0.9,0",,"Miquella_kid,Foot,-276.8,13.2,-98.6,0,27,1,1,0",,,"Miquella_kid,Foot_2,-274,-16,-97.5,0,29,1,1,0",,,,,,,,,,,,,"Trina_kid,Head,136,-208,10,1,13,1,1,0","Trina_kid,Neck,141.8,-184.2,40,1,20,1,1,0","Trina_kid,Body,165.2,-115.8,21,1,16,1,1,0","Trina_kid,Arm Up,169.6,-146.8,-28,1,14,1,1,0","Trina_kid,Arm Low,138,-99.6,-50,1,11,1,1,0","Trina_kid,Open,100,-56,-34,1,19,1,1,0","Trina_kid,Arm Up,103.8,-134.8,-21,0,29,1,1,0","Trina_kid,Arm Low,72,-97.6,-41,0,28,1,1,0","Trina_kid,Open,26,-69.6,-71,1,25,1,1,0","Miquella_kid,Kneel,211,-11.6,-10,1,18,0.9,0.9,0",,"Trina_kid,Foot,277.2,13.2,112.4,1,22,1,1,0",,,"Trina_kid,Foot_2,284.2,0.2,93.5,1,23,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrive/0,"Miquella_kid,Head,-8,-282.6,3,0,7,1,1,0","Miquella_kid,Neck,4,-265.4,-1,0,16,1,1,0","Miquella_kid,Body,-3.8,-194.4,-1,0,12,1,1,0","Miquella_kid,Arm Up,-43.4,-218.2,-22,0,8,1,1,0","Miquella_kid,Arm Low,-61,-164,-17,0,7,1,1,0","Miquella_kid,Open,-73,-116,-13,0,6,1,1,0","Miquella_kid,Arm Up,32.8,-219.4,17,1,15,1,1,0","Miquella_kid,Arm Low,50,-164,19,1,14,1,1,0","Miquella_kid,Open,63,-114,15,1,14,1,1,0","Miquella_kid,Leg Up,-1,-78,-1,0,14,1,1,0",,"Miquella_kid,Foot,-38.8,-6.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,38.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gold Appear,Base,186,-194,-90,0,0,1,1,0",,,,,,,,,,"Magic1,1000,0"
teaparty_arrive/1,"Miquella_kid,Head,31,-279.6,0,0,7,1,1,0","Miquella_kid,Neck,43,-262.4,-4,0,16,1,1,0","Miquella_kid,Body,22.2,-191.4,-8,0,12,1,1,0","Miquella_kid,Arm Up,-15.4,-220.2,-26,0,8,1,1,0","Miquella_kid,Arm Low,-37,-167,-23,0,7,1,1,0","Miquella_kid,Open,-54,-121,-19,0,6,1,1,0","Miquella_kid,Arm Up,62.8,-213.4,15,1,15,1,1,0","Miquella_kid,Arm Low,73,-157,9,1,14,1,1,0","Miquella_kid,Open,78,-108,5,1,14,1,1,0","Miquella_kid,Leg Up_walk4,16,-76,-2,0,14,1,1,0",,"Miquella_kid,Foot,-21.8,-6.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,55.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrive/2,"Miquella_kid,Head,62,-274.6,-4,0,7,1,1,0","Miquella_kid,Neck,74,-256.4,-5,0,16,1,1,0","Miquella_kid,Body,43.2,-186.4,-15,0,12,1,1,0","Miquella_kid,Arm Up,8.6,-222.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-22,-177,-32,0,7,1,1,0","Miquella_kid,Open,-41,-130,-15,0,6,1,1,0","Miquella_kid,Arm Up,77.8,-205.4,-14,1,15,1,1,0","Miquella_kid,Arm Low,56,-150,-24,1,14,1,1,0","Miquella_kid,Open,39,-109,-45,1,14,1,1,0","Miquella_kid,Leg Up_walk4,28,-74,-6,0,14,1,1,0",,"Miquella_kid,Foot,-19.8,-8.4,-4.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,64.2,-5.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrive/3,"Miquella_kid,Head,82,-268.6,0,0,7,1,1,0","Miquella_kid,Neck,91,-250.4,-15,0,16,1,1,0","Miquella_kid,Body,56.2,-185.4,-16,0,12,1,1,0","Miquella_kid,Arm Up,25.6,-223.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-4,-178,-32,0,7,1,1,0","Miquella_kid,Open,-26,-133,-23,0,6,1,1,0","Miquella_kid,Arm Up,83.8,-205.4,-14,1,15,1,1,0","Miquella_kid,Arm Low,66,-149,-24,1,14,1,1,0","Miquella_kid,Open,46,-108,-45,1,14,1,1,0","Miquella_kid,Leg Up_walk4,33,-70,-12,0,14,1,1,0",,"Miquella_kid,Foot,-18.8,-9.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,55.2,-3.4,19.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrivetalk/0,"Miquella_kid,Head,81,-267.6,2,0,7,1,1,0","Miquella_kid,Neck,91,-250.4,-15,0,16,1,1,0","Miquella_kid,Body,58.2,-184.4,-18,0,12,1,1,0","Miquella_kid,Arm Up,25.6,-223.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-2,-175,-23,0,7,1,1,0","Miquella_kid,Open,-19,-130,-22,0,6,1,1,0","Miquella_kid,Arm Up,100.8,-205.4,2,1,15,1,1,0","Miquella_kid,Arm Low,94,-149,-11,1,14,1,1,0","Miquella_kid,Fist,84,-100,-6,1,14,1,1,0","Miquella_kid,Leg Up_walk4,33,-70,-12,0,14,1,1,0",,"Miquella_kid,Foot,-18.8,-11.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,50.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrivetalk/1,"Miquella_kid,Head,81,-268.6,4,0,7,1,1,0","Miquella_kid,Neck,93,-250.4,-15,0,16,1,1,0","Miquella_kid,Body,60.2,-184.4,-17,0,12,1,1,0","Miquella_kid,Arm Up,27.6,-223.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-1,-175,-23,0,7,1,1,0","Miquella_kid,Open,-17,-130,-22,0,6,1,1,0","Miquella_kid,Arm Up,111.8,-205.4,22,1,15,1,1,0","Miquella_kid,Arm Low,126,-151,12,1,14,1,1,0","Miquella_kid,Fist,135,-101,15,1,14,1,1,0","Miquella_kid,Leg Up_walk4,35,-70,-12,0,14,1,1,0",,"Miquella_kid,Foot,-16.8,-11.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,52.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrivetalk/2,"Miquella_kid,Head,81,-269.6,5,0,7,1,1,0","Miquella_kid,Neck,94,-250.4,-15,0,16,1,1,0","Miquella_kid,Body,61.2,-185.4,-16,0,12,1,1,0","Miquella_kid,Arm Up,28.6,-223.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-4,-178,-31,0,7,1,1,0","Miquella_kid,Open,-26,-131,-26,0,6,1,1,0","Miquella_kid,Arm Up,117.8,-208.4,38,1,15,1,1,0","Miquella_kid,Arm Low,142,-162,24,1,14,1,1,0","Miquella_kid,Fist,160,-114,22,1,14,1,1,0","Miquella_kid,Leg Up_walk4,36,-70,-12,0,14,1,1,0",,"Miquella_kid,Foot,-15.8,-11.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,53.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_arrivetalk/3,"Miquella_kid,Head,82,-270.6,6,0,7,1,1,0","Miquella_kid,Neck,95,-250.4,-15,0,16,1,1,0","Miquella_kid,Body,62.2,-185.4,-16,0,12,1,1,0","Miquella_kid,Arm Up,29.6,-223.2,-42,0,8,1,1,0","Miquella_kid,Arm Low,-4,-178,-33,0,7,1,1,0","Miquella_kid,Open,-30,-133,-31,0,6,1,1,0","Miquella_kid,Arm Up,118.8,-208.4,38,1,15,1,1,0","Miquella_kid,Arm Low,155,-165,41,1,14,1,1,0","Miquella_kid,Twopoint,186,-123,40,1,14,1,1,0","Miquella_kid,Leg Up_walk4,37,-70,-12,0,14,1,1,0",,"Miquella_kid,Foot,-14.8,-11.4,-6.6,1,17,1,1,0",,,"Miquella_kid,Foot_2,54.2,-3.4,13.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
