Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Rabbit_leader,Head,2.8,-299.8,-9,0,2,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,4,1,1,0","Rabbit_leader,Body,-4.8,-195.6,-1.5,0,5,1,1,0","Rabbit_leader,Arm Up,-44.2,-230.6,-70,0,5,1,1,0","Rabbit_leader,Arm Low,-89.6,-213.2,-73,1,6,1,1,0","Rabbit_leader,Fist,-123.4,-208.8,-101,0,11,1,1,0","Rabbit_leader,Arm Up,32.4,-230,65,1,13,1,1,0","Rabbit_leader,Arm Low,76.4,-212.2,77,0,14,1,1,0","Rabbit_leader,Fist,111,-215.6,131,1,20,1,1,0","Rabbit_leader,Leg Up,-29.2,-94.4,-17.7,0,4,1,1,0","Rabbit_leader,Leg Low,-48,-36.4,-6,0,10,1,1,0","Rabbit_leader,Foot,-51.8,7.4,-30.6,0,13,1,1,0","Rabbit_leader,Leg Up,17.2,-110.2,21.7,0,12,1,1,0","Rabbit_leader,Leg Low,38.2,-48.8,17.5,0,16,1,1,0","Rabbit_leader,Foot,48.8,-6.6,-10.5,0,18,1,1,0",,,"Rabbit_leader,Ear,-51,-373.4,71,0,4,1,1,0","Rabbit_leader,Ear_back,-21.8,-371.4,63,0,12,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,12,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/0,"Rabbit_leader,Head,2.8,-299.8,-9,0,6,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-195.6,-1.5,0,9,1,1,0","Rabbit_leader,Arm Up,-35.2,-222.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-51.6,-182.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-51,-144,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-225,35,1,17,1,1,0","Rabbit_leader,Arm Low,43.4,-183.2,17,0,18,1,1,0","Rabbit_leader,Fist,59,-157.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-51,-373.4,71,0,8,1,1,0","Rabbit_leader,Ear_back,-21.8,-371.4,63,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/1,"Rabbit_leader,Head,3.8,-298.8,-10,0,5,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,7,1,1,0","Rabbit_leader,Body,-4.8,-193.6,-1.5,0,8,1,1,0","Rabbit_leader,Arm Up,-35.2,-222.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-51.6,-182.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-51,-144,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-225,35,1,17,1,1,0","Rabbit_leader,Arm Low,43.4,-183.2,17,0,18,1,1,0","Rabbit_leader,Fist,59,-157.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,7,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,13,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,16,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,15,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,19,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,21,1,1,0",,,"Rabbit_leader,Ear,-50,-372.4,70,0,7,1,1,0","Rabbit_leader,Ear_back,-20.8,-370.4,62,0,15,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,15,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/2,"Rabbit_leader,Close_eye,5.8,-296.8,-14,0,6,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-192.6,-1.5,0,9,1,1,0","Rabbit_leader,Arm Up,-35.2,-221.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-51.6,-181.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-51,-143,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-224,34,1,17,1,1,0","Rabbit_leader,Arm Low,43.4,-180.2,15,0,18,1,1,0","Rabbit_leader,Fist,60,-153.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-43,-372.4,66,0,8,1,1,0","Rabbit_leader,Ear_back,-13.8,-370.4,58,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/3,"Rabbit_leader,Close_eye,11.8,-293.8,-17,0,6,1,1,0","Rabbit_leader,Neck,-2.2,-265.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-191.6,-4.5,0,9,1,1,0","Rabbit_leader,Arm Up,-32.2,-221.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-48.6,-181.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-48,-143,-30,0,6,1,1,0","Rabbit_leader,Arm Up,23.4,-220,34,1,17,1,1,0","Rabbit_leader,Arm Low,44.4,-176.2,15,0,18,1,1,0","Rabbit_leader,Fist,61,-149.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-30,-373.4,59,0,8,1,1,0","Rabbit_leader,Ear_back,-0.8,-371.4,51,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/4,"Rabbit_leader,Close_eye,12.8,-291.8,-19,0,6,1,1,0","Rabbit_leader,Neck,-2.2,-265.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-191.6,-4.5,0,9,1,1,0","Rabbit_leader,Arm Up,-32.2,-221.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-48.6,-181.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-48,-143,-30,0,6,1,1,0","Rabbit_leader,Arm Up,23.4,-220,34,1,17,1,1,0","Rabbit_leader,Arm Low,44.4,-176.2,15,0,18,1,1,0","Rabbit_leader,Fist,61,-149.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-27,-373.4,57,0,8,1,1,0","Rabbit_leader,Ear_back,2.2,-371.4,49,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/5,"Rabbit_leader,Head,11.8,-293.8,-17,0,6,1,1,0","Rabbit_leader,Neck,-2.2,-265.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-191.6,-4.5,0,9,1,1,0","Rabbit_leader,Arm Up,-32.2,-221.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-48.6,-181.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-48,-143,-30,0,6,1,1,0","Rabbit_leader,Arm Up,23.4,-220,34,1,17,1,1,0","Rabbit_leader,Arm Low,44.4,-176.2,15,0,18,1,1,0","Rabbit_leader,Fist,61,-149.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-30,-373.4,59,0,8,1,1,0","Rabbit_leader,Ear_back,-0.8,-371.4,51,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/6,"Rabbit_leader,Head,5.8,-296.8,-14,0,6,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-192.6,-1.5,0,9,1,1,0","Rabbit_leader,Arm Up,-35.2,-221.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-51.6,-181.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-51,-143,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-224,34,1,17,1,1,0","Rabbit_leader,Arm Low,43.4,-180.2,15,0,18,1,1,0","Rabbit_leader,Fist,60,-153.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-43,-372.4,66,0,8,1,1,0","Rabbit_leader,Ear_back,-13.8,-370.4,58,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_smile/7,"Rabbit_leader,Head,2.8,-298.8,-10,0,6,1,1,0","Rabbit_leader,Neck,-5.2,-264.6,-3,0,8,1,1,0","Rabbit_leader,Body,-4.8,-193.6,-1.5,0,9,1,1,0","Rabbit_leader,Arm Up,-35.2,-222.6,-40,0,6,1,1,0","Rabbit_leader,Arm Low,-51.6,-182.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-51,-144,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-225,35,1,17,1,1,0","Rabbit_leader,Arm Low,43.4,-183.2,17,0,18,1,1,0","Rabbit_leader,Fist,59,-157.6,61,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-51,-372.4,70,0,8,1,1,0","Rabbit_leader,Ear_back,-21.8,-370.4,62,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_teapop/0,"Rabbit_leader,Head,-3.2,-299.8,-4,0,6,1,1,0","Rabbit_leader,Neck,-10.2,-264.6,-3,0,8,1,1,0","Rabbit_leader,Body,-5.8,-195.6,1.5,0,9,1,1,0","Rabbit_leader,Arm Up,-38.2,-222.6,-42,0,6,1,1,0","Rabbit_leader,Arm Low,-55.6,-182.2,-12,0,7,1,1,0","Rabbit_leader,Fist,-55,-144,-30,0,6,1,1,0","Rabbit_leader,Arm Up,22.4,-224,42,1,17,1,1,0","Rabbit_leader,Arm Low,47.4,-184.2,20,0,18,1,1,0","Rabbit_leader,Fist,68,-156.6,64,1,24,1,1,0","Rabbit_leader,Leg Up,-30.2,-100.4,-17.7,0,8,1,1,0","Rabbit_leader,Leg Low,-49,-42.4,-6,0,14,1,1,0","Rabbit_leader,Foot,-52.8,1.4,-30.6,0,17,1,1,0","Rabbit_leader,Leg Up,11.2,-107.2,31.7,0,16,1,1,0","Rabbit_leader,Leg Low,37.2,-43.8,13.5,0,20,1,1,0","Rabbit_leader,Foot,44.8,-1.6,-18.5,0,22,1,1,0",,,"Rabbit_leader,Ear,-56,-373.4,71,0,8,1,1,0","Rabbit_leader,Ear_back,-26.8,-371.4,63,0,16,1,1,0","Rabbit_leader,Tail,-50,-76,-16,0,16,1,1,0","Item,Teatable,120,33,0,0,4,1.1,1.1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smoke Pop,Base,2,-414,0,0,0,1,1,0",,,,,,,,,,"Smoke Puff,1000,1"
