Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
Default/0,"Trina_kid,Head,-8,-287.6,3,0,7,1,1,0","Trina_kid,Neck,4,-270.4,-1,0,16,1,1,0","Trina_kid,Body,-4.8,-198.4,-1,0,12,1,1,0","Trina_kid,Arm Up,-45.4,-224.2,-29,0,8,1,1,0","Trina_kid,Arm Low,-62,-175,-17,0,7,1,1,0","Trina_kid,Open,-76,-127,-18,0,6,1,1,0","Trina_kid,Arm Up,36.8,-228.4,32,1,15,1,1,0","Trina_kid,Arm Low,64,-180,31,1,14,1,1.3,0","Trina_kid,Open,92,-133,35,1,14,1,1,0","Trina_kid,Leg Up,-1,-84,-1,0,14,1,1,0",,"Trina_kid,Foot_2,-42.8,-10.4,-6.6,1,17,1,1,0",,,"Trina_kid,Foot,38.2,-11.4,-12.5,0,19,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/0,"Trina_kid,Head,-13,-243.6,2,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-11.8,-155.4,0,0,12,1,1,0","Trina_kid,Arm Up,-44.4,-176.2,1,0,8,1,1,0","Trina_kid,Arm Low,-19,-134,41,0,7,1,1,0","Trina_kid,Open,17,-98,45,0,6,1,1,0","Trina_kid,Arm Up,30.8,-182.4,24,1,15,1,1,0","Trina_kid,Arm Low,48,-129,17,1,14,1,1,0","Trina_kid,Open,61,-80,18,1,11,1,1,0","Trina_kid,Sit,-1,-52,0,0,14,1,1,0",,"Trina_kid,Foot_2,-6.8,-2.4,-25.6,0,17,1,1,0",,,"Trina_kid,Foot,40.2,-8.4,-45.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/1,"Trina_kid,Head,-16,-243.6,4,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-12.8,-155.4,1,0,12,1,1,0","Trina_kid,Arm Up,-44.4,-174.2,6,0,8,1,1,0","Trina_kid,Arm Low,-14,-136,49,0,7,1,1,0","Trina_kid,Open,26,-111,64,0,6,1,1,0","Trina_kid,Arm Up,28.8,-182.4,26,1,15,1,1,0","Trina_kid,Arm Low,44,-129,14,1,14,1,1,0","Trina_kid,Open,59,-81,24,1,11,1,1,0","Trina_kid,Sit,-1,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-8.8,-2.4,-27.6,0,17,1,1,0",,,"Trina_kid,Foot,41.2,-8.4,-45.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/2,"Trina_kid,Head,-18,-243.6,5,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-13.8,-155.4,2,0,12,1,1,0","Trina_kid,Arm Up,-41.4,-173.2,19,0,8,1,1,0","Trina_kid,Arm Low,-5,-142,60,0,7,1,1,0","Trina_kid,Open,43,-122,71,0,6,1,1,0","Trina_kid,Arm Up,27.8,-182.4,25,1,15,1,1,0","Trina_kid,Arm Low,45,-129,16,1,14,1,1,0","Trina_kid,Open,59,-81,21,1,11,1,1,0","Trina_kid,Sit,-1,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-9.8,-2.4,-30.6,0,17,1,1,0",,,"Trina_kid,Foot,43.2,-8.4,-46.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/3,"Trina_kid,Head,-20,-243.6,6,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-13.8,-155.4,2,0,12,1,1,0","Trina_kid,Arm Up,-36.4,-175.2,35,0,8,1,1,0","Trina_kid,Arm Low,7,-151,69,0,7,1,1,0","Trina_kid,Open,57,-136,71,0,6,1,1,0","Trina_kid,Arm Up,27.8,-182.4,25,1,15,1,1,0","Trina_kid,Arm Low,47,-129,19,1,14,1,1,0","Trina_kid,Open,60,-81,15,1,11,1,1,0","Trina_kid,Sit,-1,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-9.8,-2.4,-30.6,0,17,1,1,0",,,"Trina_kid,Foot,43.2,-8.4,-46.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/4,"Trina_kid,Laugh,-20,-243.6,4,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-13.8,-155.4,3,0,12,1,1,0","Trina_kid,Arm Up,-38.4,-175.2,31,0,8,1,1,0","Trina_kid,Arm Low,5,-153,77,0,7,1,1,0","Trina_kid,Twopoint,55,-149,92,0,6,1,1,0","Trina_kid,Arm Up,27.8,-182.4,28,1,15,1,1,0","Trina_kid,Arm Low,48,-129,19,1,14,1,1,0","Trina_kid,Open,61,-81,15,1,11,1,1,0","Trina_kid,Sit,-1,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-9.8,-2.4,-30.6,0,17,1,1,0",,,"Trina_kid,Foot,43.2,-8.4,-46.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teaparty_talk/5,"Trina_kid,Laugh,-19,-243.6,2,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-13.8,-155.4,3,0,12,1,1,0","Trina_kid,Arm Up,-38.4,-175.2,31,0,8,1,1,0","Trina_kid,Arm Low,5,-159,84,0,7,1,1,0","Trina_kid,Twopoint,56,-161,97,0,6,1,1,0","Trina_kid,Arm Up,27.8,-182.4,28,1,15,1,1,0","Trina_kid,Arm Low,48,-129,19,1,14,1,1,0","Trina_kid,Open,61,-81,15,1,11,1,1,0","Trina_kid,Sit,-1,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-9.8,-2.4,-30.6,0,17,1,1,0",,,"Trina_kid,Foot,43.2,-8.4,-46.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hold,,
teaparty_teapop/0,"Trina_kid,Head,-15,-243.6,10,0,7,1,1,0","Trina_kid,Neck,-11,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-11.8,-155.4,0,0,12,1,1,0","Trina_kid,Arm Up,-45.4,-177.2,-12,0,8,1,1,0","Trina_kid,Arm Low,-40,-125,11,0,7,1,1,0","Trina_kid,Open,-27,-77,15,0,6,1,1,0","Trina_kid,Arm Up,30.8,-181.4,19,1,15,1,1,0","Trina_kid,Arm Low,45,-127,15,1,14,1,1,0","Trina_kid,Open,63,-78,21,0,11,1,1,0","Trina_kid,Sit,-1,-52,0,0,14,1,1,0",,"Trina_kid,Foot_2,-6.8,-2.4,-25.6,0,17,1,1,0",,,"Trina_kid,Foot,40.2,-8.4,-45.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smoke Pop,Base,162,-337,0,0,0,0.6,0.6,0",,,,,,,,,,"Smoke Puff,1000,1"
teaparty_teapop/1,"Trina_kid,Laugh,-18,-243.6,13,0,7,1,1,0","Trina_kid,Neck,-13,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-12.8,-155.4,1,0,12,1,1,0","Trina_kid,Arm Up,-48.4,-177.2,-16,0,8,1,1,0","Trina_kid,Arm Low,-48,-125,6,0,7,1,1,0","Trina_kid,Open,-39,-77,10,0,6,1,1,0","Trina_kid,Arm Up,30.8,-181.4,23,1,15,1,1,0","Trina_kid,Arm Low,50,-127,20,1,14,1,1,0","Trina_kid,Open,70,-82,26,0,11,1,1,0","Trina_kid,Sit,0,-52,1,0,14,1,1,0",,"Trina_kid,Foot_2,-7.8,-2.4,-28.6,0,17,1,1,0",,,"Trina_kid,Foot,41.2,-8.4,-44.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Smoke Pop,Base,162,-253,-20,1,0,0.6,0.6,0",,,,,,,,,,
teaparty_teapop/2,"Trina_kid,Laugh,-21,-243.6,15,0,7,1,1,0","Trina_kid,Neck,-13,-218.4,-1,0,16,1,1,0","Trina_kid,Body,-12.8,-155.4,2,0,12,1,1,0","Trina_kid,Arm Up,-49.4,-177.2,-19,0,8,1,1,0","Trina_kid,Arm Low,-54,-125,-2,0,7,1,1,0","Trina_kid,Open,-53,-76,2,0,6,1,1,0","Trina_kid,Arm Up,29.8,-181.4,27,1,15,1,1,0","Trina_kid,Arm Low,54,-130,26,1,14,1,1,0","Trina_kid,Open,80,-86,33,0,11,1,1,0","Trina_kid,Sit,1,-52,2,0,14,1,1,0",,"Trina_kid,Foot_2,-8.8,-2.4,-34.6,0,17,1,1,0",,,"Trina_kid,Foot,43.2,-8.4,-45.5,0,19,1,1,0",,,"Item,Teachair,-6,-27,0,0,21,0.8,0.8,0","Item,Trinakid_cup,157,-325,10,0,0,1,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
